page,page_count,exercise_templates
1,5,"{'id': '29472BE1', 'title': 'Chest Dip (Weighted)', 'type': 'bodyweight_weighted', 'primary_muscle_group': 'chest', 'secondary_muscle_groups': ['triceps'], 'equipment': 'machine', 'is_custom': False}"
1,5,"{'id': 'DDB7C19F', 'title': 'Chest Fly (Band)', 'type': 'weight_reps', 'primary_muscle_group': 'chest', 'secondary_muscle_groups': [], 'equipment': 'resistance_band', 'is_custom': False}"
1,5,"{'id': '12017185', 'title': 'Chest Fly (Dumbbell)', 'type': 'weight_reps', 'primary_muscle_group': 'chest', 'secondary_muscle_groups': [], 'equipment': 'dumbbell', 'is_custom': False}"
1,5,"{'id': '78683336', 'title': 'Chest Fly (Machine)', 'type': 'weight_reps', 'primary_muscle_group': 'chest', 'secondary_muscle_groups': [], 'equipment': 'machine', 'is_custom': False}"
1,5,"{'id': '720B0D70', 'title': 'Chest Fly (Suspension)', 'type': 'reps_only', 'primary_muscle_group': 'chest', 'secondary_muscle_groups': [], 'equipment': 'suspension', 'is_custom': False}"
1,5,"{'id': 'EAC7D9C5', 'title': 'Chest Press (Band)', 'type': 'weight_reps', 'primary_muscle_group': 'chest', 'secondary_muscle_groups': [], 'equipment': 'resistance_band', 'is_custom': False}"
1,5,"{'id': '7EB3F7C3', 'title': 'Chest Press (Machine)', 'type': 'weight_reps', 'primary_muscle_group': 'chest', 'secondary_muscle_groups': [], 'equipment': 'machine', 'is_custom': False}"
1,5,"{'id': '914F3A96', 'title': 'Chest Supported Incline Row (Dumbbell)', 'type': 'weight_reps', 'primary_muscle_group': 'upper_back', 'secondary_muscle_groups': [], 'equipment': 'dumbbell', 'is_custom': False}"
1,5,"{'id': 'B582299E', 'title': 'Chest Supported Reverse Fly (Dumbbell)', 'type': 'weight_reps', 'primary_muscle_group': 'upper_back', 'secondary_muscle_groups': ['shoulders'], 'equipment': 'dumbbell', 'is_custom': False}"
1,5,"{'id': 'F21D5693', 'title': 'Chest Supported Y Raise (Dumbbell)', 'type': 'weight_reps', 'primary_muscle_group': 'shoulders', 'secondary_muscle_groups': [], 'equipment': 'dumbbell', 'is_custom': False}"
1,5,"{'id': '29083183', 'title': 'Chin Up', 'type': 'reps_only', 'primary_muscle_group': 'lats', 'secondary_muscle_groups': ['upper_back', 'biceps'], 'equipment': 'machine', 'is_custom': False}"
1,5,"{'id': 'D23C609B', 'title': 'Chin Up (Assisted)', 'type': 'bodyweight_assisted', 'primary_muscle_group': 'lats', 'secondary_muscle_groups': ['upper_back', 'biceps'], 'equipment': 'machine', 'is_custom': False}"
1,5,"{'id': '023943F1', 'title': 'Chin Up (Weighted)', 'type': 'bodyweight_weighted', 'primary_muscle_group': 'lats', 'secondary_muscle_groups': ['upper_back', 'biceps'], 'equipment': 'machine', 'is_custom': False}"
